历史行情.指标排序沪深Ａ股 日期:2017-07-21,五 指标:MACD(12,26,9)   DMA(10,50,10)   BOLL(20)   BIAS(6,12,24)   
代码   	名称	 涨幅%%	 收盘	成交量	总金额	  DIF	  DEA	  MACD	  DIF	  DIFMA	  BOLL	  UB	  LB	  BIAS1	  BIAS2	  BIAS3	
000409	山东地矿	-1.97	6.95	8096341	56741396	-0.748	-0.524	-0.446	-1.494	-0.786	8.752	11.127	6.377	-1.998	-13.932	-21.910	
000410	*ST沈机	-1.86	8.44	9034628	76607472	0.300	0.240	0.119	1.018	0.697	7.854	9.043	6.666	1.017	1.758	8.962	
000411	英特集团	1.40	20.99	591341	12431930	-0.198	-0.105	-0.186	-0.089	0.025	21.340	22.478	20.201	0.938	-1.590	-1.711	
000413	东旭光电	-0.98	11.07	84039440	939254656	0.085	0.188	-0.206	0.568	0.968	11.296	12.244	10.348	1.793	-2.072	-0.688	
000415	渤海金控	-1.98	6.94	31294016	219330448	0.094	0.084	0.020	0.303	0.289	6.782	7.084	6.481	1.413	1.105	3.120	
000416	民生控股	6.05	8.77	27196030	235687440	-0.017	-0.069	0.103	-0.048	-0.074	8.031	8.597	7.466	10.686	9.420	9.085	
000417	合肥百货	0.24	8.35	4551690	38096336	0.038	0.058	-0.040	0.226	0.253	8.347	8.652	8.042	0.906	-0.506	0.602	
000418	小天鹅Ａ	-1.93	44.12	1886642	83540200	-0.658	-0.500	-0.315	-1.397	-1.062	45.713	48.315	43.110	-1.109	-2.169	-4.488	
000419	通程控股	0.30	6.73	2481141	16666498	-0.061	-0.041	-0.041	-0.043	0.033	6.837	7.156	6.518	1.178	-0.737	-1.512	
000420	吉林化纤	-2.31	3.38	19344526	65643920	0.078	0.047	0.061	0.193	0.076	3.218	3.511	2.925	-0.880	2.218	5.832	
000421	南京公用	-0.28	7.00	2145698	15027189	-0.057	-0.031	-0.054	-0.015	0.079	7.161	7.498	6.823	0.623	-1.408	-2.280	
000422	湖北宜化	4.67	6.73	61580276	406950816	0.154	0.106	0.096	0.391	0.276	6.147	6.588	5.705	6.068	7.322	10.607	
000423	东阿阿胶	-1.12	66.45	6109097	407468480	-0.540	-0.296	-0.489	-1.004	0.421	68.076	72.307	63.844	0.385	-0.303	-2.822	
000425	徐工机械	0.51	3.97	74734056	296813888	0.086	0.081	0.010	0.291	0.262	3.836	4.021	3.652	1.535	1.991	4.738	
000426	兴业矿业	0.41	9.71	24949380	240348288	0.316	0.295	0.043	0.914	0.954	9.137	9.775	8.499	3.555	4.268	7.819	
000428	华天酒店	1.46	4.86	5020996	24188306	-0.103	-0.078	-0.050	-0.190	-0.106	5.024	5.352	4.696	1.075	-2.131	-3.492	
000429	粤高速Ａ	-1.87	8.93	26799564	241607408	0.127	0.049	0.156	0.153	0.023	8.566	9.261	7.871	0.450	4.180	3.973	
