历史行情.指标排序沪深Ａ股 日期:2017-07-24,一 指标:MACD(12,26,9)   EMV(14,9)   TRIX(12,9)   WVAD(24,6)   
代码   	名称	 涨幅%%	 收盘	成交量	总金额	  DIF	  DEA	  MACD	  EMV	  MAEMV	  TRIX	  MATRIX	  WVAD	  MAWVAD	
000510	金路集团	1.97	10.35	20721436	209208272	0.476	0.451	0.051	-0.166	0.289	0.909	0.959	129.109	136.978	
000513	丽珠集团	-0.82	49.89	2208263	110986592	0.032	0.137	-0.210	0.079	-0.113	-0.041	0.026	-3.332	-4.772	
000514	渝 开 发	4.98	9.06	32770420	293433728	0.353	0.230	0.246	0.617	0.621	0.682	0.367	96.730	82.183	
000516	国际医学	0.78	5.15	14896868	76679304	-0.153	-0.135	-0.035	-0.911	-0.815	-0.376	-0.242	-47.642	-52.128	
000517	荣安地产	1.53	4.66	13794649	64450792	-0.027	-0.040	0.025	-0.391	-0.481	-0.134	-0.096	14.433	3.140	
000518	四环生物	3.91	8.24	13342206	108943704	0.150	0.120	0.060	-0.135	0.076	0.297	0.310	27.697	14.161	
000519	中兵红箭	1.70	12.54	22967640	285572736	-0.150	-0.056	-0.187	-0.882	-0.584	-0.067	0.190	74.530	53.079	
000520	长航凤凰	5.20	5.87	19551788	112729272	-0.086	-0.092	0.011	-0.336	-0.489	-0.230	-0.169	12.420	-1.960	
000521	美菱电器	1.82	6.14	6950050	42318400	-0.063	-0.035	-0.056	-0.694	-0.648	-0.141	0.031	-17.511	-25.372	
000523	广州浪奇	-0.42	9.39	4610437	43135536	-0.093	-0.055	-0.075	-0.658	-0.415	-0.102	-0.002	1.473	5.978	
000524	岭南控股	0.81	12.45	1403856	17498186	-0.106	-0.070	-0.074	-0.708	-0.450	-0.083	-0.005	1.440	-0.443	
000525	红 太 阳	1.69	19.30	8541040	163962320	0.379	0.317	0.123	-0.016	0.057	0.319	0.357	26.300	18.258	
000526	*ST紫学	-0.35	31.35	902317	28193236	-0.184	-0.742	1.116	-0.393	-0.080	-0.110	-0.544	-4.479	-4.208	
000528	柳 工	-1.27	9.30	37606644	356615616	0.271	0.229	0.084	0.392	0.315	0.472	0.416	124.184	102.948	
000529	广弘控股	1.10	8.27	2311075	18939074	-0.290	-0.191	-0.197	-1.050	-0.622	-0.362	-0.139	-1.943	-5.500	
000530	大冷股份	0.42	7.18	7355320	52111748	0.026	0.073	-0.095	-0.535	-0.316	0.154	0.320	3.466	0.864	
000531	穗恒运Ａ					-0.178	-0.088	-0.179	-0.647	-0.390	-0.176	0.001	-8.255	-3.363	
000532	华金资本	1.52	12.69	4770908	60139468	-0.516	-0.383	-0.265	-1.714	-1.408	-0.519	-0.251	-3.373	-8.877	
000533	万 家 乐	-2.06	10.46	2527719	26582372	0.062	0.132	-0.140	-0.674	-0.067	0.190	0.313	32.989	36.365	
000534	万泽股份	1.17	11.23	1785261	19811678	-0.372	-0.362	-0.020	-0.776	-0.967	-0.529	-0.452	-5.293	-6.632	
000536	华映科技	0.19	5.38	6116906	32781006	-0.136	-0.097	-0.079	-1.075	-0.830	-0.300	-0.119	-5.717	-8.776	
000537	广宇发展	0.13	7.67	3544319	27252168	-0.169	-0.142	-0.054	-0.638	-0.810	-0.343	-0.175	-11.892	-18.526	
000538	云南白药	-0.36	90.52	2561979	233155072	-0.226	-0.217	-0.018	0.133	-0.213	-0.102	-0.089	-3.813	-6.428	
000539	粤电力Ａ	1.11	5.45	8308529	45293068	0.028	0.015	0.028	0.175	0.037	0.061	0.042	15.011	8.687	
000540	中天金融	-0.99	8.03	267759968	2222669056	0.389	0.250	0.279	1.215	0.511	0.716	0.422	683.013	529.204	
000541	佛山照明	0.79	8.97	4837663	43183056	-0.057	-0.029	-0.056	-0.188	-0.119	-0.066	0.008	-6.799	-4.144	
000543	皖能电力	3.06	5.73	16661466	95093168	-0.047	-0.036	-0.020	-0.248	-0.293	-0.130	-0.007	2.489	-5.571	
000544	中原环保	0.84	20.47	5011972	100531080	0.010	0.175	-0.330	-0.789	-0.371	0.045	0.233	17.883	18.032	
000545	金浦钛业	0.95	6.40	46867772	298469408	0.172	0.148	0.048	0.276	0.211	0.479	0.477	206.081	159.404	
000546	金圆股份	-0.44	11.20	12675146	142877072	0.152	0.135	0.033	-0.125	-0.279	0.212	0.259	26.814	28.130	
000547	航天发展	2.35	10.02	16666736	164804208	-0.194	-0.171	-0.047	-1.019	-0.845	-0.228	-0.075	-5.266	-2.653	
000548	湖南投资	3.25	8.27	18105804	149118256	0.172	0.096	0.153	0.330	0.281	0.332	0.198	85.317	65.623	
000550	江铃汽车	-0.09	21.85	6899919	155216144	0.287	0.179	0.215	0.386	0.274	0.208	0.188	14.552	4.258	
000551	创元科技	3.69	9.00	14028031	125556648	-0.276	-0.247	-0.058	-1.025	-1.172	-0.520	-0.393	-17.672	-34.912	
000552	靖远煤电	-1.26	3.92	35432912	140697136	0.116	0.087	0.057	0.396	0.269	0.470	0.355	153.851	132.580	
000553	沙隆达Ａ	4.44	14.36	10113241	143189680	0.148	0.188	-0.080	-0.835	-0.468	0.202	0.345	19.983	12.162	
000554	泰山石油	1.85	8.27	12644670	103218600	-0.149	-0.185	0.071	-1.185	-0.833	-0.201	-0.188	25.578	6.915	
000555	神州信息					-0.057	-0.138	0.163	-0.001	0.068	-0.001	-0.077	9.114	7.075	
000557	西部创业					-0.212	-0.106	-0.211	-2.737	-2.351	-0.475	-0.092	145.540	145.209	
000558	莱茵体育	-1.19	6.63	8655650	57276140	-0.287	-0.211	-0.154	-1.878	-1.505	-0.602	-0.344	-38.911	-55.858	
000559	万向钱潮	-0.20	10.11	11189270	112707544	0.022	0.085	-0.127	-0.659	-0.544	0.040	0.223	42.499	46.527	
000560	昆百大Ａ	-1.65	8.96	5815014	52497636	-0.041	-0.062	0.041	-0.579	-0.635	-0.083	-0.030	3.275	-0.114	
000561	烽火电子	3.19	10.03	5738811	56481052	-0.141	-0.092	-0.098	-1.016	-0.934	-0.141	0.069	3.981	8.325	
000563	陕国投Ａ	2.37	6.04	130559944	787127552	0.213	0.125	0.175	0.890	0.457	0.579	0.351	410.855	280.951	
000564	供销大集	1.01	6.98	8156020	56504340	0.102	0.035	0.134	0.353	0.239	0.223	0.023	32.812	30.215	
000565	渝三峡Ａ	5.28	10.56	20313104	210015504	0.032	0.018	0.027	-0.546	-0.467	0.084	0.164	48.982	34.041	
000566	海南海药	-0.23	13.30	2858298	37837500	0.037	0.034	0.007	-1.221	-0.800	0.059	0.048	8.547	16.959	
000567	海德股份	5.95	29.01	8051221	227762304	0.765	0.635	0.260	0.359	0.178	0.440	0.429	1.864	-2.867	
000568	泸州老窖	2.36	52.59	10318694	548339520	0.654	0.382	0.543	0.591	-0.175	0.068	0.031	26.199	19.011	
000570	苏常柴Ａ	0.66	7.65	7354013	56076336	0.141	0.073	0.136	0.217	0.081	0.277	0.169	48.062	35.882	
000571	新大洲Ａ					0.035	-0.026	0.122	0.359	-0.043	-0.020	-0.125	15.314	-2.189	
000572	海马汽车	1.23	4.92	7708340	37749976	-0.083	-0.058	-0.051	-0.784	-0.579	-0.209	-0.075	12.344	6.063	
000573	粤宏远Ａ	0.32	6.34	6176304	38997344	-0.087	-0.097	0.020	-0.441	-0.497	-0.247	-0.197	-9.301	-22.624	
000576	广东甘化	-0.06	16.69	1584300	26290642	-0.060	-0.093	0.066	-1.194	-1.234	-0.106	-0.130	7.877	5.248	
000581	威孚高科	-0.85	26.77	20789392	559103552	0.737	0.683	0.107	0.119	-0.078	0.416	0.483	151.145	128.279	
000582	北部湾港	1.99	12.32	11468991	140119872	0.061	-0.040	0.201	-0.280	-0.117	0.102	-0.039	51.438	39.212	
000584	友利控股	0.00	12.96	4771402	61579132	0.122	0.189	-0.134	-0.402	-0.244	0.130	0.243	3.528	10.214	
000585	东北电气	-1.27	5.46	10233419	55721588	-0.141	-0.210	0.138	0.341	-0.284	-0.486	-0.681	-4.625	-15.283	
000586	汇源通信	-1.24	21.43	1248750	27131512	0.729	0.757	-0.056	0.323	0.580	0.655	0.645	9.509	10.027	
000587	金洲慈航	-0.74	8.02	16156598	128852872	0.183	0.138	0.090	0.038	0.195	0.346	0.219	76.478	73.705	
000589	黔轮胎Ａ	3.65	5.96	43296168	256487248	0.042	0.024	0.036	-0.015	-0.102	0.072	0.125	77.274	39.357	
000590	启迪古汉	-0.91	16.33	1008402	16495441	-0.096	-0.182	0.172	-0.116	-0.281	-0.144	-0.201	-0.662	0.803	
000591	太阳能	0.57	5.29	14411313	75759448	-0.045	-0.045	0.000	-0.635	-0.404	-0.072	-0.070	0.408	-4.892	
000592	平潭发展	3.17	5.53	49742476	276680672	-0.042	-0.037	-0.011	-0.308	-0.679	-0.161	-0.010	15.357	-6.371	
000593	大通燃气	0.49	8.25	2194800	18056250	-0.152	-0.087	-0.129	-1.161	-0.678	-0.186	-0.016	-3.653	-1.716	
000595	*ST宝实	-2.10	4.66	14634535	68450184	0.026	0.036	-0.021	-0.218	0.221	0.277	0.385	10.065	25.664	
000596	古井贡酒	0.47	49.06	3634290	180414592	-0.301	-0.292	-0.019	-0.121	-0.504	-0.144	-0.088	1.460	-2.204	
