历史行情.指标排序沪深Ａ股 日期:2017-07-20,四 指标:MACD(12,26,9)   DMA(10,50,10)   BOLL(20)   BIAS(6,12,24)   
代码   	名称	 涨幅%%	 收盘	成交量	总金额	  DIF	  DEA	  MACD	  DIF	  DIFMA	  BOLL	  UB	  LB	  BIAS1	  BIAS2	  BIAS3	
000534	万泽股份	0.18	11.00	1079141	11875297	-0.415	-0.350	-0.130	-0.967	-0.652	11.660	12.845	10.475	0.015	-2.841	-7.124	
000536	华映科技	-0.94	5.27	7638878	40592420	-0.132	-0.075	-0.114	-0.167	-0.054	5.698	6.127	5.269	-2.887	-6.228	-7.854	
000537	广宇发展	2.19	7.47	5558453	41499932	-0.201	-0.122	-0.158	-0.270	-0.007	7.897	8.620	7.174	0.629	-3.447	-5.835	
000538	云南白药	2.56	91.60	3736097	339239936	-0.339	-0.202	-0.272	-0.630	0.467	91.080	95.467	86.693	2.025	1.935	0.219	
000539	粤电力Ａ	2.63	5.47	20653084	112069184	0.018	0.009	0.018	0.046	0.043	5.313	5.400	5.225	2.595	2.739	2.997	
000540	中天金融	4.94	8.08	244930688	1924789888	0.304	0.179	0.249	0.607	0.407	6.877	7.696	6.057	10.609	15.374	19.108	
000541	佛山照明	0.11	8.96	4911472	43986060	-0.046	-0.013	-0.066	0.042	0.104	9.121	9.381	8.861	-0.389	-1.745	-1.808	
000543	皖能电力	1.27	5.59	12946471	72295616	-0.060	-0.027	-0.067	-0.018	0.094	5.730	6.046	5.414	1.146	-1.251	-2.521	
000544	中原环保	1.18	20.55	5265800	107398648	0.075	0.263	-0.376	0.841	1.341	21.032	22.218	19.847	0.154	-2.599	-1.855	
000545	金浦钛业	-0.16	6.27	44966608	280968032	0.154	0.137	0.033	0.483	0.375	5.981	6.439	5.522	2.034	2.395	6.324	
000546	金圆股份	1.94	11.54	34186576	398767072	0.136	0.127	0.018	0.530	0.562	10.980	11.626	10.334	5.100	4.917	6.237	
000547	航天发展	1.25	9.71	12812797	124790784	-0.222	-0.152	-0.141	-0.191	-0.100	10.213	10.961	9.465	-0.461	-3.599	-5.295	
000548	湖南投资	3.28	8.18	19398504	155196880	0.130	0.060	0.139	0.317	0.108	7.518	8.108	6.929	4.514	6.211	9.055	
000550	江铃汽车	1.49	21.14	5202275	112133344	0.159	0.133	0.052	0.945	0.756	20.614	21.435	19.792	1.375	1.209	2.940	
000551	创元科技	0.58	8.66	6471802	56163748	-0.310	-0.223	-0.174	-0.494	-0.227	9.214	10.051	8.377	-0.307	-3.867	-7.577	
000552	靖远煤电	-1.98	3.96	46697380	184791760	0.105	0.072	0.068	0.258	0.182	3.658	3.960	3.355	3.846	5.906	9.179	
000553	沙隆达Ａ	-0.36	13.76	6011032	82652664	0.130	0.219	-0.177	0.857	0.934	13.807	15.000	12.615	0.243	-2.192	0.331	
000554	泰山石油	1.01	8.04	9068811	72696360	-0.191	-0.198	0.015	-0.459	-0.632	8.184	8.627	7.742	0.208	-1.752	-1.906	
000555	神州信息					-0.057	-0.138	0.163	-0.296	-0.566	16.587	17.136	16.038	-0.199	-0.020	1.269	
000557	西部创业					-0.212	-0.106	-0.211	-0.391	-0.008	6.443	7.682	5.204	1.597	-3.530	-9.840	
000558	莱茵体育	0.92	6.61	11079001	73801464	-0.284	-0.168	-0.233	-0.367	0.018	7.321	8.259	6.383	-1.734	-6.440	-11.141	
000559	万向钱潮	0.50	10.05	14811152	149344544	0.029	0.120	-0.182	0.335	0.670	10.342	10.979	9.704	0.316	-1.736	-2.126	
000560	昆百大Ａ	1.90	8.60	1807079	15496016	-0.105	-0.068	-0.074	-0.063	-0.092	8.792	9.202	8.381	0.370	-1.798	-2.351	
000561	烽火电子	0.21	9.55	2888289	27651964	-0.163	-0.058	-0.209	0.064	0.227	10.155	10.967	9.342	-1.462	-5.500	-6.342	
000563	陕国投Ａ	1.02	5.95	135605216	802441792	0.168	0.082	0.172	0.321	0.102	5.309	5.838	4.781	6.187	9.897	13.604	
000564	供销大集	-0.56	7.10	12084115	85275936	0.090	-0.001	0.180	0.092	-0.124	6.584	7.073	6.096	3.298	6.221	7.773	
000565	渝三峡Ａ	0.51	9.78	9534897	94146152	-0.023	0.022	-0.091	0.125	0.120	10.033	10.680	9.387	-1.840	-2.775	-2.151	
000566	海南海药	2.05	13.42	5989331	80353992	0.039	0.031	0.017	0.096	0.018	13.222	13.537	12.907	0.549	0.902	1.529	
000567	海德股份	-1.78	27.58	5520460	154371888	0.670	0.590	0.160	2.111	1.884	26.614	28.273	24.955	0.982	2.763	4.799	
000568	泸州老窖	2.86	51.35	9667930	493830528	0.318	0.279	0.078	0.705	1.150	49.535	52.113	46.957	4.183	4.771	3.642	
000570	苏常柴Ａ	5.46	7.73	22860984	171534096	0.098	0.040	0.118	0.220	0.070	7.106	7.478	6.733	6.060	7.535	9.277	
000571	新大洲Ａ					0.035	-0.026	0.122	-0.046	-0.164	7.615	7.945	7.285	4.242	5.737	6.308	
000572	海马汽车	0.62	4.87	7942212	38651620	-0.081	-0.043	-0.074	-0.091	-0.011	5.089	5.381	4.796	-1.050	-3.644	-4.588	
000573	粤宏远Ａ	3.63	6.28	13572465	85730312	-0.118	-0.099	-0.038	-0.149	-0.055	6.332	6.675	5.988	2.475	0.467	-1.490	
000576	广东甘化	0.54	16.73	1417052	23399578	-0.092	-0.108	0.031	-0.344	-0.233	16.606	16.980	16.232	1.661	1.358	0.285	
000581	威孚高科	0.66	26.09	18914232	491637856	0.606	0.664	-0.117	2.062	2.352	25.368	26.497	24.240	2.407	2.831	4.622	
