历史行情.指标排序沪深Ａ股 日期:2017-07-21,五 指标:MACD(12,26,9)   WR(14,28)   CCI(14)   OBV(30)   
代码   	名称	 涨幅%%	 收盘	成交量	总金额	  DIF	  DEA	  MACD	  WR1	  WR2	  CCI	  OBV	  MAOBV	
300460	惠伦晶体	-1.20	14.78	615734	9156147	-0.716	-0.491	-0.452	81.644	82.597	-88.201	-30946.02	-7024.579	
300461	田中精机					-0.186	-0.046	-0.280	47.070	47.070		-9846.979		
300462	华铭智能													
300463	迈克生物	-1.07	22.18	1437126	32151954	-0.671	-0.386	-0.569	77.824	78.008	-83.718	-21983.73	49023.64	
300464	星徽精密	-0.75	10.60	976092	10370910	-0.613	-0.452	-0.323	84.884	87.460	-97.994	-49143.88	22532.95	
300465	高伟达	-0.77	9.01	2752160	24984162	-0.381	-0.217	-0.328	89.823	91.786	-94.336	357453.6	378389.3	
300466	赛摩电气													
300467	迅游科技	-3.79	32.52	1760350	58026148	-2.331	-1.764	-1.133	94.919	96.964	-91.517	-247119.7		
300468	四方精创	0.27	40.60	493399	19880554	-1.218	-0.590	-1.257	92.308	92.308	-111.515	8643.670	20285.20	
300469	信息发展	-1.20	43.50	823695	36472960	-3.691	-2.445	-2.492	99.164	99.174	-107.131	-78889.79		
300470	日机密封	-0.06	32.67	346300	11258085	-0.678	-0.419	-0.519	73.902	84.493	-90.966	71291.01	61972.82	
300471	厚普股份	-0.77	14.15	1410300	20034088	-0.237	-0.046	-0.382	90.455	90.667	-114.089	140156.4	131850.3	
300472	新元科技	-2.15	23.25	686750	16170163	-2.314	-2.182	-0.265	82.278	91.695	-82.146	-100868.7		
300473	德尔股份	-2.46	40.81	1118544	45993404	-1.515	-0.750	-1.529	99.068	99.068	-122.770	-21665.30	20923.30	
300474	景嘉微	-0.21	32.60	1575955	52060128	-0.564	0.060	-1.248	75.726	76.490	-75.315	145814.6	178033.3	
300475	聚隆科技	-1.75	14.62	1954800	28823428	-0.941	-0.699	-0.484	90.210	91.250	-104.636	-103386.7	-10410.07	
300476	胜宏科技	1.64	22.92	1706624	39015828	-0.007	0.158	-0.330	57.143	50.000	-63.843	130849.8	132072.3	
300477	合纵科技	2.84	22.10	6217459	135022960	0.976	0.879	0.195	24.406	19.024	76.728	249145.8	162035.3	
300478	杭州高新													
300479	神思电子	0.86	22.41	8019038	182967024	0.069	0.351	-0.565	70.016	69.255	-48.768	581442.3	304391.9	
300480	光力科技	-3.56	14.09	1736360	24836456	-0.558	-0.288	-0.540	98.107	98.704	-123.897	-90465.73	-13236.03	
300481	濮阳惠成	-2.09	26.18	4130569	109617632	-1.055	-0.456	-1.198	95.916	96.185	-115.334	586029.9	805353.8	
