历史行情.指标排序沪深Ａ股 日期:2017-07-20,四 指标:MACD(12,26,9)   WR(14,28)   CCI(14)   OBV(30)   
代码   	名称	 涨幅%%	 收盘	成交量	总金额	  DIF	  DEA	  MACD	  WR1	  WR2	  CCI	  OBV	  MAOBV	
002468	申通快递	1.72	25.96	3886145	100472952	0.035	-0.064	0.200	1.010	10.909	178.810	32673.17	-84920.08	
002469	三维工程	-0.81	7.35	3048370	22510162	-0.045	0.028	-0.147	81.746	75.735	-107.593	247926.9	178802.4	
002470	金正大	0.77	7.82	13727161	107021272	0.132	0.101	0.062	1.695	1.408	195.793	1137157.9	532332.8	
002471	中超控股	4.03	4.90	19972562	97574288	-0.027	-0.009	-0.035	44.444	44.444	-17.565	634674.1	383392.9	
002472	双环传动	1.41	10.04	4148717	41676920	-0.133	-0.021	-0.224	69.863	77.083	-85.380	42102.41	137123.2	
002473	*ST圣莱													
002474	榕基软件	0.11	9.53	4850690	46569748	-0.294	-0.137	-0.314	76.000	77.251	-117.000	45714.31	274609.6	
002475	立讯精密	1.16	21.00	18951250	398863840	0.378	0.244	0.267	12.937	11.078	239.947	718696.6	103394.9	
002476	宝莫股份	0.14	7.13	4984900	35773928	-0.132	-0.018	-0.229	78.788	86.000	-88.011	-168559.3	81082.04	
002477	雏鹰农牧	0.23	4.30	25558706	111439232	-0.056	-0.048	-0.017	55.814	65.455	-84.739	-1289635.1	-2450872.5	
002478	常宝股份	-1.93	6.09	11020216	67210656	0.086	0.032	0.110	31.395	29.348	88.657	370220.8	33308.46	
002479	富春环保	1.80	11.34	6451073	72722344	-0.137	-0.040	-0.193	60.656	60.656	-80.780	10538.73	-109634.8	
002480	新筑股份	-0.53	7.49	3271900	24568162	-0.156	-0.099	-0.114	74.766	84.831	-109.211	232661.4	189090.4	
002481	双塔食品	-0.15	6.45	5358004	34405552	-0.084	-0.059	-0.050	63.636	65.217	-80.509	475448.8	451033.4	
002482	广田集团	0.72	8.43	4688260	39552760	-0.073	0.043	-0.232	64.667	71.351	-77.478	586737.9	437129.6	
002483	润邦股份	-1.13	6.14	4167126	25788082	-0.123	-0.071	-0.104	82.716	84.270	-115.224	-82923.47	6125.739	
002484	江海股份	0.42	9.67	2661258	25915204	0.054	0.135	-0.162	59.732	54.601	-71.872	370682.1	238534.2	
002485	希努尔	-0.30	26.60	1033926	27319112	0.662	0.806	-0.289	20.519	19.602	72.735	440854.6	391576.0	
002486	嘉麟杰													
002487	大金重工	-0.18	5.64	3740454	21189804	-0.178	-0.109	-0.138	83.333	84.404	-110.011	-83847.09	75015.70	
