历史行情.指标排序沪深Ａ股 日期:2017-07-18,二 指标:MACD(12,26,9)   WR(14,28)   CCI(14)   OBV(30)   
代码   	名称	 涨幅%%	 收盘	成交量	总金额	  DIF	  DEA	  MACD	  WR1	  WR2	  CCI	  OBV	  MAOBV	
002150	通润装备	0.68	10.42	1081681	11243530	-0.215	-0.058	-0.314	83.085	83.575	-194.772	17283.31	22885.18	
002151	北斗星通	0.38	26.27	2393657	62696308	-0.264	-0.066	-0.397	83.143	87.759	-251.931	190100.9	223856.0	
002152	广电运通	1.72	7.68	8985330	68641736	-0.065	0.028	-0.186	83.178	83.178	-162.404	-218388.8	276345.3	
002153	石基信息	0.59	22.30	5704023	126009872	0.208	0.315	-0.216	33.762	42.359	-68.381	-82639.92	-53996.40	
002154	报 喜 鸟	8.20	4.09	30994310	122132008	0.049	0.022	0.054	2.128	2.128	158.184	934522.8	199437.2	
002155	湖南黄金	2.65	10.06	24262892	241119168	0.154	0.129	0.051	32.967	23.256	64.957	385124.8	61013.78	
002156	通富微电	1.41	9.34	4980923	46219928	-0.017	0.062	-0.159	85.714	77.564	-250.525	294916.8	135349.7	
002157	正邦科技	0.45	4.49	7502537	33545818	-0.000	0.014	-0.029	41.667	50.877	-141.996	259758.2	356834.8	
002158	汉钟精机	-2.75	16.65	44365728	738420096	0.077	0.246	-0.338	86.912	84.325	-182.676	1565855.8	621498.6	
002159	三特索道	-0.26	23.10	333446	7671129	-0.124	-0.018	-0.211	63.529	65.836	-122.702	-32298.82	-44081.20	
002160	常铝股份	2.13	8.14	20700608	165111984	0.364	0.274	0.181	38.743	32.456	41.169	854356.5	184566.4	
002161	远 望 谷	0.44	11.33	133584456	1482545280	0.804	0.644	0.319	20.000	18.282	63.365	9678476.0	1836219.9	
002162	悦心健康	-0.71	5.57	6717795	37020384	-0.220	-0.105	-0.230	90.286	90.286		-224271.7		
002163	中航三鑫	0.94	7.48	6729900	49854076	-0.050	0.069	-0.238	84.783	86.624	-250.876	741098.3	748819.8	
002164	宁波东力	1.31	10.05	4297067	42924964	-0.059	-0.036	-0.045	70.796	82.723	-107.520	-298454.9	-235092.5	
002165	红 宝 丽	0.87	5.82	5281528	30655098	-0.034	0.004	-0.078	89.231	89.231	-242.992	-17122.40	-79121.13	
002166	莱茵生物	3.88	10.97	6956605	75270168	0.025	0.052	-0.055	47.945	47.945	-119.746	259596.4	120383.1	
002167	东方锆业	1.41	10.78	17764450	190678928	0.229	0.272	-0.084	81.818	66.023	-93.964	2941835.0	1605295.4	
002168	深圳惠程													
002169	智光电气	0.76	6.60	3978400	26119900	-0.231	-0.136	-0.190	87.603	91.124	-230.489	-661275.5	-401872.8	
002170	芭田股份	0.45	6.68	3011470	20041054	-0.098	-0.030	-0.136	90.291	90.291	-235.425	-97120.27	-122474.1	
002171	楚江新材	2.23	15.13	4394544	65192324	0.147	0.154	-0.014	29.710	23.977	-39.788	-28046.05	-28400.21	
002172	澳洋科技	1.17	7.80	4097184	31645564	0.039	0.077	-0.076	70.732	67.442	-217.478	370732.0	347425.6	
002173	创新医疗	-0.34	14.85	861410	12801308	-0.220	-0.109	-0.223	85.955	86.842	-256.293	14335.61	37214.21	
002174	游族网络	2.62	28.58	6831974	193262528	-0.222	0.201	-0.847	74.422	74.422	-139.266	168955.2	382614.2	
002175	东方网络	-9.97	10.75	71583864	771616128	-0.559	-0.177	-0.764	100.000	100.000		-758220.6		
002176	江特电机	1.99	9.76	30661208	296207872	0.295	0.257	0.078	41.827	37.500	8.366	3488879.3	1176315.1	
002177	御银股份	1.53	5.31	5086308	26840232	-0.073	-0.026	-0.094	83.824	86.076	-219.333	-19560.60	70640.25	
002178	延华智能	0.38	10.66	6679043	70617488	0.040	0.078	-0.076	40.860	40.860	-87.966	92722.86	173499.8	
002179	中航光电	-0.95	32.35	8250497	266590976	0.870	0.994	-0.248	62.720	41.569	-40.415	644542.9	407847.9	
002180	纳思达	5.51	22.21	1515335	33039914	-0.934	-0.780	-0.307	67.361	75.044	-104.710	2009.049	-762.833	
002181	粤 传 媒	1.00	5.05	3452342	17229568	-0.091	-0.060	-0.062	77.586	81.159	-245.118	-10066.17	23186.29	
002182	云海金属	5.17	10.18	56998872	565707136	0.340	0.307	0.067	0.000	0.000	163.915	2655212.8	880854.6	
002183	怡 亚 通	1.02	7.91	14691268	115875584	-0.080	0.023	-0.205	90.833	90.833	-207.771	12324.91	137634.1	
002184	海得控制	0.55	12.80	1364875	17427996	-0.195	-0.050	-0.290	92.340	92.373	-226.571	109680.3	79737.80	
002185	华天科技	2.84	6.88	30236738	204327312	0.047	0.129	-0.165	71.845	71.845	-161.538	-777871.2	217857.0	
