历史行情.指标排序沪深Ａ股 日期:2017-07-21,五 指标:MACD(12,26,9)   EMV(14,9)   TRIX(12,9)   WVAD(24,6)   
代码   	名称	 涨幅%%	 收盘	成交量	总金额	  DIF	  DEA	  MACD	  EMV	  MAEMV	  TRIX	  MATRIX	  WVAD	  MAWVAD	
000021	深科技	0.00	8.32	5013847	41870988	-0.067	-0.016	-0.102	-0.576	-0.448	-0.090	0.065	-4.235	3.015	
000022	深赤湾Ａ	-2.26	27.70	6639996	184626608	0.049	0.361	-0.625	-0.900	-0.796	0.013	0.188	-16.932	-2.786	
000023	深天地Ａ	-2.81	25.60	1071287	27623546	0.095	0.300	-0.409	-0.921	-0.668	0.124	0.332	0.882	2.670	
000025	特 力Ａ					1.083	1.961	-1.756	-1.719	-0.238	0.604	1.006	42.589	58.612	
000026	飞亚达Ａ	0.00	11.32	3838813	43531904	-0.300	-0.152	-0.296	-1.381	-0.725	-0.240	0.003	-2.963	1.278	
000027	深圳能源	-0.30	6.66	6972726	46421548	-0.012	0.011	-0.045	-0.291	-0.027	0.006	0.092	15.802	12.382	
000028	国药一致	0.03	78.04	651027	50695676	-0.087	0.431	-1.036	-0.198	0.018	0.015	0.175	1.104	0.997	
000029	深深房Ａ					-0.013	0.034	-0.094	-0.583	-0.787	-0.042	0.086	52.933	49.458	
000030	富奥股份	2.50	9.03	12511354	111816864	0.073	0.086	-0.026	-0.126	-0.132	0.103	0.207	30.869	22.300	
000031	中粮地产	8.70	8.00	54508000	428272768	0.004	-0.010	0.028	-0.287	-0.253	-0.014	0.053	61.259	23.894	
000032	深桑达Ａ					0.135	0.099	0.073	0.203	0.321	0.145	0.065	24.229	13.975	
000034	神州数码	-5.78	17.76	11181285	202350080	-0.685	-0.024	-1.322	-0.503	0.103	-0.096	0.240	20.553	12.357	
000035	中国天楹	0.00	6.52	3349900	21807482	-0.095	-0.052	-0.087	-1.043	-0.407	-0.132	-0.011	1.066	-2.766	
000036	华联控股	10.04	11.29	122584600	1353402112	0.416	0.214	0.404	1.479	0.421	0.446	0.237	276.071	139.244	
000037	深南电A	-1.29	9.97	1691600	16907574	-0.034	-0.002	-0.064	-0.245	-0.198	-0.039	0.053	5.661	4.896	
000038	深大通					-1.003	-0.936	-0.135	-1.351	-1.485	-0.637	-0.637	-2.962	-2.309	
000039	中集集团	1.35	18.07	22442456	405308832	0.201	0.212	-0.022	0.071	-0.008	0.141	0.202	44.962	40.177	
000040	东旭蓝天	0.16	12.47	2604675	32353326	-0.073	0.028	-0.200	-1.008	-0.449	0.009	0.164	7.933	12.738	
000042	中洲控股	-1.23	16.92	627232	10630448	-0.125	-0.195	0.139	-0.009	-0.221	-0.150	-0.203	-1.588	-2.376	
000043	中航地产	-0.93	10.64	3988045	42619736	0.239	0.275	-0.073	0.072	0.487	0.498	0.586	32.922	32.576	
000045	深纺织Ａ	-1.19	10.77	4334722	46811112	-0.322	-0.217	-0.210	-1.373	-1.149	-0.403	-0.176	-14.403	-9.080	
000046	泛海控股	-1.63	8.43	8421510	71304048	-0.011	-0.019	0.015	0.010	-0.155	-0.041	-0.010	3.091	3.561	
