历史行情.指标排序沪深Ａ股 日期:2017-07-19,三 指标:MACD(12,26,9)   DMA(10,50,10)   BOLL(20)   BIAS(6,12,24)   
代码   	名称	 涨幅%%	 收盘	成交量	总金额	  DIF	  DEA	  MACD	  DIF	  DIFMA	  BOLL	  UB	  LB	  BIAS1	  BIAS2	  BIAS3	
000400	许继电气	1.49	17.04	8900929	149508688	0.089	0.231	-0.283	0.770	0.963	17.534	18.705	16.363	-1.768	-3.724	-2.029	
000401	冀东水泥	2.26	15.40	54727656	840368448	-0.252	-0.199	-0.107	-0.477	-0.888	15.852	17.176	14.527	-2.706	-4.343	-3.124	
000402	金 融 街	1.89	12.40	38448320	470180288	0.165	0.107	0.116	0.398	0.363	11.788	12.273	11.304	3.477	5.330	5.828	
000403	ST生化					0.407	0.023	0.769	0.126	-0.930	28.340	30.926	25.754	3.984	5.888	9.364	
000404	华意压缩	1.83	7.24	10712100	76706072	-0.146	-0.076	-0.140	-0.240	-0.166	7.720	8.259	7.181	-2.666	-5.627	-6.430	
000407	胜利股份	0.25	8.05	5164576	41520548	-0.391	-0.253	-0.277	-0.620	-0.344	9.153	10.242	8.064	-5.442	-9.005	-13.692	
000408	藏格控股	0.75	13.50	1807607	24217608	-0.102	-0.078	-0.047	-0.154	-0.134	13.712	14.258	13.165	-0.111	-1.087	-1.277	
000409	山东地矿	4.09	7.12	14263860	100861384	-0.677	-0.407	-0.539	-1.177	-0.578	9.016	11.121	6.911	-6.254	-16.619	-21.901	
000410	*ST沈机	-0.12	8.34	10429529	87441088	0.280	0.207	0.146	0.950	0.505	7.707	8.894	6.519	0.240	2.974	8.978	
000411	英特集团	0.73	20.69	375960	7748517	-0.166	-0.053	-0.227	0.017	-0.017	21.374	22.481	20.267	-2.536	-3.536	-3.399	
000413	东旭光电	2.08	10.82	104984160	1123639296	0.097	0.243	-0.293	0.806	1.035	11.220	12.331	10.109	-1.592	-5.192	-2.497	
000415	渤海金控	1.18	6.84	24235984	164035344	0.073	0.079	-0.013	0.305	0.257	6.723	7.053	6.394	0.588	0.195	2.312	
000416	民生控股	0.00	7.52	3854861	28770204	-0.136	-0.079	-0.114	-0.128	-0.092	7.977	8.406	7.549	-3.176	-5.439	-6.230	
000417	合肥百货	1.59	8.30	3836131	31587150	0.042	0.069	-0.054	0.263	0.227	8.314	8.682	7.947	-0.260	-1.308	0.282	
000418	小天鹅Ａ	-0.16	44.50	2041753	90571432	-0.622	-0.425	-0.395	-1.295	-0.793	46.138	49.225	43.051	-1.389	-1.583	-4.207	
000419	通程控股	2.30	6.67	3579656	24025206	-0.066	-0.028	-0.074	-0.002	0.041	6.838	7.156	6.519	-0.150	-2.128	-2.622	
000420	吉林化纤	2.06	3.47	33960916	117489520	0.069	0.030	0.079	0.152	0.023	3.181	3.454	2.907	3.634	6.578	9.579	
000421	南京公用	2.93	7.02	2653698	18331268	-0.056	-0.016	-0.080	0.042	0.101	7.175	7.501	6.850	0.333	-1.612	-2.172	
