历史行情.指标排序沪深Ａ股 日期:2017-07-19,三 指标:MACD(12,26,9)   WR(14,28)   CCI(14)   OBV(30)   
代码   	名称	 涨幅%%	 收盘	成交量	总金额	  DIF	  DEA	  MACD	  WR1	  WR2	  CCI	  OBV	  MAOBV	
600030	中信证券	5.71	17.78	272582240	4729308160	0.215	0.204	0.022	1.667	1.290	119.834	11227924.0	6775736.0	
600031	三一重工	4.19	8.45	175876256	1469442816	0.195	0.213	-0.038	2.703	1.575	208.204	5267155.5	2453269.8	
600033	福建高速	3.94	3.96	55348636	216955520	0.034	0.033	0.002	21.875	21.212	226.211	1771364.1	1046851.1	
600035	楚天高速	1.86	5.47	4595643	24906772	-0.023	-0.002	-0.043	37.838	39.474	-98.764	-82008.75	-97620.63	
600036	招商银行	2.85	25.22	63077092	1570233856	0.866	0.829	0.074	15.194	8.758	95.765	8766525.0	6156529.0	
600037	歌华有线	1.02	13.91	5245179	72625936	-0.142	-0.070	-0.144	67.826	71.756	-91.644	4032.432	145420.1	
600038	中直股份	2.23	42.12	4841945	200020816	-0.320	0.146	-0.932	74.922	73.426	-118.155	142416.8	331665.3	
600039	四川路桥	3.03	4.76	119616968	561776960	0.152	0.098	0.107	16.250	14.607	134.956	2720193.0	788944.0	
600048	保利地产	-0.55	10.83	106823120	1155194752	0.320	0.266	0.106	16.667	12.139	105.327	9351332.0	5890347.5	
600050	中国联通													
600051	宁波联合	1.91	9.60	3141275	29854032	0.063	0.097	-0.069	63.636	59.434	-63.863	459978.8	297940.3	
600052	浙江广厦	0.85	4.77	4060940	19175172	-0.080	-0.048	-0.064	75.472	79.032	-150.177	-185360.3	-75377.74	
600053	九鼎投资	-0.25	32.09	931816	29806244	-0.437	-0.237	-0.400	84.735	85.879	-138.580	-28268.85	-11677.84	
600054	黄山旅游	-0.49	16.17	6142425	98875200	-0.234	-0.154	-0.160	86.923	89.571	-194.662	-257895.8	-87658.53	
600055	万东医疗	1.09	12.04	2295004	27521704	0.042	0.154	-0.225	70.053	70.053	-128.305	179104.2	63861.55	
600056	中国医药	0.16	24.43	3594257	87150304	-0.162	0.003	-0.329	71.713	71.713	-106.899	-394120.2	-118882.4	
600057	象屿股份	1.53	9.94	3685039	36443596	0.013	0.029	-0.031	33.898	36.066	-30.028	94708.09	94258.58	
600058	五矿发展	9.99	13.65	10158660	136369344	0.200	0.171	0.058	0.000	0.000	125.282	607173.2	273146.6	
600059	古越龙山	1.02	8.90	3444285	30465446	-0.059	-0.015	-0.088	59.677	63.768	-120.729	105063.1	110233.2	
600060	海信电器	1.03	13.67	11081377	150547680	-0.139	-0.010	-0.257	75.000	79.096	-111.661	158665.3	514388.2	
600061	国投安信	3.99	16.68	54397576	894017344	0.243	0.160	0.165	0.645	0.521	278.833	2222438.3	898886.6	
600062	华润双鹤	3.12	20.82	5496059	113399448	-0.305	-0.121	-0.369	70.748	73.041	-86.167	151104.9	272523.3	
600063	皖维高新	2.21	4.16	16718656	69087024	0.002	0.016	-0.029	58.696	58.696	-69.697	703269.1	161391.4	
600064	南京高科	2.13	14.89	4772292	70416760	-0.024	0.021	-0.090	38.158	38.158	-52.982	78871.55	104404.5	
