历史行情.指标排序沪深Ａ股 日期:2017-07-25,二 指标:MACD(12,26,9)   DMA(10,50,10)   BOLL(20)   BIAS(6,12,24)   
代码   	名称	 涨幅%%	 收盘	成交量	总金额	  DIF	  DEA	  MACD	  DIF	  DIFMA	  BOLL	  UB	  LB	  BIAS1	  BIAS2	  BIAS3	
000488	晨鸣纸业	-1.12	15.96	37227392	590752448	0.956	0.886	0.140	2.735	2.567	14.587	16.937	12.236	1.624	3.676	12.328	
000498	山东路桥	-2.75	8.12	11395366	92999736	0.319	0.249	0.139	0.892	0.507	7.619	8.669	6.569	-1.834	2.074	7.949	
000501	鄂武商Ａ	-1.54	17.25	4448458	76684504	-0.045	-0.010	-0.070	0.089	0.414	17.470	18.471	16.469	0.456	0.515	-1.765	
000502	绿景控股	0.09	11.01	1656003	18213364	-0.472	-0.390	-0.164	-1.044	-0.593	11.813	13.246	10.380	0.671	-4.010	-7.391	
000503	海虹控股					-2.068	-1.510	-1.118	-5.057	-4.181	32.491	37.506	27.476	-16.946	-20.754	-24.440	
000504	南华生物	-0.71	19.60	1313457	25683976	-0.356	0.014	-0.738	-0.190	1.288	21.503	24.062	18.943	-1.680	-6.707	-8.272	
000505	珠江控股	-0.63	9.50	1628900	15585564	-0.141	-0.145	0.008	-0.440	-0.528	9.752	10.202	9.303	-1.367	-1.230	-2.966	
000506	中润资源					-0.304	-0.158	-0.293	-0.522	-0.077	9.908	11.079	8.738	-4.092	-8.608	-12.163	
000507	珠海港	-1.55	10.80	28860724	312604768	-0.307	-0.117	-0.380	-0.315	0.404	11.842	13.501	10.182	-0.948	-4.516	-10.187	
000509	华塑控股					-0.067	-0.066	-0.002	-0.150	-0.140	6.122	6.269	5.974	1.046	0.246	-0.163	
000510	金路集团	-3.77	9.96	15613839	156475840	0.443	0.449	-0.013	1.456	1.358	9.691	10.785	8.598	-2.033	-1.068	4.508	
000513	丽珠集团	-0.58	49.60	1482709	73849456	0.024	0.114	-0.181	0.238	0.855	50.009	52.045	47.974	0.071	0.471	-0.999	
000514	渝 开 发	-2.76	8.81	23390342	207914016	0.353	0.255	0.197	0.951	0.463	8.099	9.374	6.825	-0.826	3.871	10.257	
000516	国际医学	-0.39	5.13	9583778	49087516	-0.149	-0.138	-0.022	-0.301	-0.253	5.347	5.796	4.899	0.621	-1.488	-4.713	
000517	荣安地产	-1.93	4.57	10131936	46450536	-0.023	-0.037	0.026	-0.083	-0.080	4.568	4.799	4.337	0.809	1.256	-0.291	
000518	四环生物	-2.91	8.00	7312429	58596020	0.154	0.127	0.054	0.446	0.388	7.756	8.129	7.384	1.116	2.422	4.116	
000519	中兵红箭	-0.88	12.43	12751591	158981904	-0.144	-0.074	-0.141	-0.163	0.269	12.799	14.214	11.385	2.220	-1.460	-2.385	
000520	长航凤凰	-2.39	5.73	11486347	66206988	-0.078	-0.089	0.022	-0.182	-0.151	5.753	6.031	5.476	1.416	0.777	-0.879	
000521	美菱电器	-1.47	6.05	5793462	35200892	-0.062	-0.040	-0.044	-0.072	0.062	6.210	6.616	5.804	0.721	-0.643	-3.148	
000523	广州浪奇	-0.75	9.32	2943791	27490798	-0.105	-0.065	-0.080	-0.163	-0.006	9.691	10.173	9.208	-1.236	-2.366	-3.823	
000524	岭南控股	-0.80	12.35	1590812	19772298	-0.115	-0.079	-0.072	-0.137	0.059	12.686	13.352	12.020	-0.390	-1.364	-2.339	
000525	红 太 阳	-2.90	18.74	5832773	110005880	0.369	0.327	0.083	1.150	1.088	18.382	19.226	17.539	0.098	1.265	2.976	
000526	*ST紫学	3.03	32.30	1549640	49609192	-0.065	-0.607	1.084	-1.725	-3.753	29.989	33.450	26.527	0.770	4.576	8.724	
000528	柳 工	1.72	9.46	24199980	225584624	0.283	0.240	0.087	0.795	0.647	8.907	9.526	8.288	1.430	4.242	7.302	
000529	广弘控股	-0.85	8.20	2237801	18319406	-0.299	-0.213	-0.173	-0.616	-0.305	8.863	9.891	7.835	0.367	-5.557	-7.684	
000530	大冷股份	-1.95	7.04	5954660	42123892	0.007	0.060	-0.106	0.257	0.398	7.307	7.777	6.838	-1.378	-3.858	-3.639	
000531	穗恒运Ａ					-0.178	-0.088	-0.179	-0.152	0.035	9.415	10.108	8.723	0.298	-3.229	-4.880	
000532	华金资本	-1.65	12.48	3511272	44060428	-0.521	-0.411	-0.221	-1.154	-0.537	13.536	15.334	11.739	-0.040	-3.809	-8.872	
000533	万 家 乐	-2.10	10.24	2850670	29332086	0.014	0.108	-0.188	0.268	0.540	10.865	11.472	10.258	-3.865	-5.375	-4.774	
000534	万泽股份	3.47	11.62	3171618	36631588	-0.315	-0.353	0.075	-1.004	-0.828	11.462	12.325	10.600	4.481	3.789	-0.368	
000536	华映科技	-0.37	5.36	6962187	37246608	-0.137	-0.105	-0.064	-0.269	-0.120	5.640	6.120	5.159	0.500	-2.398	-5.265	
000537	广宇发展	-1.83	7.53	3562972	26987676	-0.165	-0.146	-0.038	-0.411	-0.158	7.820	8.534	7.106	0.713	-0.932	-4.330	
000538	云南白药	-0.74	89.85	3884239	349479392	-0.248	-0.223	-0.050	-0.781	-0.280	90.358	92.904	87.813	-0.357	-0.122	-1.355	
000539	粤电力Ａ	-1.10	5.39	6504562	35145076	0.029	0.018	0.023	0.063	0.046	5.333	5.438	5.228	0.124	0.763	1.236	
000540	中天金融	0.62	8.08	161581552	1281911296	0.413	0.282	0.262	0.892	0.535	7.082	8.251	5.914	1.913	9.907	15.305	
000541	佛山照明	-0.56	8.92	4369854	39089120	-0.061	-0.035	-0.051	-0.071	0.065	9.092	9.385	8.798	-0.056	-1.418	-1.933	
000543	皖能电力	-1.40	5.65	10681645	60575184	-0.041	-0.037	-0.008	-0.075	0.030	5.707	6.025	5.390	1.254	0.758	-1.274	
000544	中原环保	-1.17	20.23	1499211	30337474	-0.026	0.135	-0.322	0.191	0.990	20.960	22.251	19.670	-0.565	-2.424	-3.362	
000545	金浦钛业	-1.87	6.28	28292632	177414192	0.168	0.152	0.032	0.504	0.440	6.079	6.513	5.645	-0.027	1.440	4.659	
000546	金圆股份	0.00	11.20	11014594	123575824	0.153	0.139	0.028	0.501	0.538	11.021	11.681	10.362	0.599	1.595	1.915	
000547	航天发展	-0.50	9.97	13276035	132474880	-0.177	-0.172	-0.010	-0.300	-0.135	10.142	10.894	9.390	2.134	0.504	-2.019	
000548	湖南投资	-2.78	8.04	14366225	116014272	0.175	0.112	0.127	0.469	0.258	7.653	8.315	6.990	0.208	2.638	6.092	
000550	江铃汽车	-2.06	21.40	4108866	88224808	0.290	0.202	0.177	0.974	0.909	20.841	21.891	19.791	0.595	1.374	3.220	
000551	创元科技	-0.33	8.97	8255919	74177928	-0.251	-0.248	-0.006	-0.628	-0.387	9.097	9.868	8.326	2.788	1.146	-2.443	
000552	靖远煤电	0.00	3.92	27418368	106776272	0.116	0.093	0.046	0.304	0.227	3.726	4.043	3.409	-0.550	2.955	6.425	
000553	沙隆达Ａ	2.23	14.68	10766629	155842352	0.199	0.190	0.018	0.663	0.913	13.995	15.032	12.959	5.258	4.157	6.108	
000554	泰山石油	0.60	8.32	8722667	71805232	-0.123	-0.172	0.098	-0.401	-0.503	8.204	8.643	7.765	2.949	2.211	1.649	
000555	神州信息					-0.057	-0.138	0.163	-0.296	-0.566	16.587	17.136	16.038	-0.199	-0.020	1.269	
000557	西部创业					-0.212	-0.106	-0.211	-0.391	-0.008	6.443	7.682	5.204	1.597	-3.530	-9.840	
000558	莱茵体育	-0.30	6.61	7163300	47528880	-0.288	-0.226	-0.124	-0.571	-0.214	7.152	8.105	6.198	0.202	-3.304	-8.974	
000559	万向钱潮	-0.10	10.10	8971909	89767760	0.017	0.071	-0.108	0.192	0.463	10.316	10.906	9.726	0.581	-0.008	-1.866	
000560	昆百大Ａ	-2.57	8.73	3693263	32418558	-0.042	-0.058	0.032	-0.073	-0.061	8.796	9.230	8.362	0.230	-0.324	-0.936	
000561	烽火电子	-1.10	9.92	4169924	41422864	-0.129	-0.099	-0.059	-0.131	0.142	10.097	10.928	9.266	2.268	-0.092	-1.968	
000563	陕国投Ａ	-3.81	5.81	97708184	570367488	0.211	0.142	0.138	0.508	0.238	5.439	6.069	4.809	-1.414	3.827	8.185	
000564	供销大集	-2.29	6.82	7525716	51662464	0.094	0.047	0.094	0.207	0.002	6.655	7.174	6.136	-2.710	0.504	3.054	
000565	渝三峡Ａ	-2.46	10.30	13887008	142774928	0.048	0.024	0.048	0.187	0.173	10.111	10.762	9.459	2.897	1.955	2.441	
000566	海南海药	0.08	13.31	2661609	35313612	0.036	0.034	0.004	0.115	0.068	13.254	13.555	12.953	0.264	-0.237	0.605	
000567	海德股份	-2.07	28.41	6615144	190082112	0.795	0.667	0.256	2.398	2.003	26.985	28.621	25.348	1.761	3.822	6.282	
000568	泸州老窖	1.06	53.15	7834560	416351616	0.847	0.475	0.743	1.342	0.911	49.689	52.747	46.631	3.910	6.408	6.499	
000570	苏常柴Ａ	1.31	7.75	9299906	71426352	0.163	0.091	0.145	0.369	0.171	7.214	7.733	6.696	2.762	5.694	8.171	
