历史行情.指标排序沪深Ａ股 日期:2017-07-24,一 指标:MACD(12,26,9)   DMA(10,50,10)   BOLL(20)   BIAS(6,12,24)   
代码   	名称	 涨幅%%	 收盘	成交量	总金额	  DIF	  DEA	  MACD	  DIF	  DIFMA	  BOLL	  UB	  LB	  BIAS1	  BIAS2	  BIAS3	
000425	徐工机械	1.51	4.03	112058136	451253344	0.092	0.084	0.016	0.287	0.270	3.852	4.046	3.659	2.632	2.981	5.774	
000426	兴业矿业	1.96	9.90	34038628	336813760	0.340	0.304	0.073	0.922	0.947	9.205	9.863	8.548	4.449	5.647	9.151	
000428	华天酒店	0.21	4.87	3456257	16800912	-0.099	-0.082	-0.034	-0.212	-0.117	5.013	5.346	4.680	1.776	-1.400	-3.044	
000429	粤高速Ａ	4.03	9.29	42795224	394617568	0.162	0.072	0.180	0.233	0.037	8.592	9.354	7.829	2.369	7.234	7.945	
000430	张家界	0.78	10.28	1174280	12015583	-0.112	-0.078	-0.068	-0.144	0.061	10.456	10.923	9.989	1.364	-0.620	-2.041	
000488	晨鸣纸业	-1.41	16.14	55974476	913298112	0.962	0.868	0.187	2.747	2.490	14.426	16.820	12.032	4.477	5.530	14.920	
000498	山东路桥	1.21	8.35	15926125	134475952	0.330	0.232	0.195	0.820	0.424	7.569	8.614	6.523	1.396	6.065	11.650	
000501	鄂武商Ａ	0.81	17.52	7998364	139589024	-0.047	-0.001	-0.091	0.127	0.504	17.522	18.583	16.462	2.686	1.890	-0.282	
000502	绿景控股	-0.09	11.00	1885201	20745598	-0.473	-0.369	-0.208	-0.943	-0.532	11.879	13.278	10.480	1.026	-5.329	-8.116	
000503	海虹控股					-2.068	-1.510	-1.118	-5.057	-4.181	32.491	37.506	27.476	-16.946	-20.754	-24.440	
000504	南华生物	0.20	19.74	1657998	32794064	-0.280	0.106	-0.773	0.179	1.530	21.552	23.991	19.114	-1.251	-7.135	-7.904	
000505	珠江控股	0.63	9.56	2861540	27172560	-0.137	-0.146	0.018	-0.481	-0.540	9.776	10.218	9.333	-0.967	-0.667	-2.577	
000506	中润资源					-0.304	-0.158	-0.293	-0.522	-0.077	9.908	11.079	8.738	-4.092	-8.608	-12.163	
000507	珠海港	3.10	10.97	45231932	490810112	-0.282	-0.069	-0.425	-0.162	0.569	11.976	13.712	10.239	0.489	-3.954	-9.451	
000509	华塑控股					-0.067	-0.066	-0.002	-0.150	-0.140	6.122	6.269	5.974	1.046	0.246	-0.163	
000510	金路集团	1.97	10.35	20721436	209208272	0.476	0.451	0.051	1.510	1.309	9.651	10.763	8.539	2.934	3.336	9.495	
000513	丽珠集团	-0.82	49.89	2208263	110986592	0.032	0.137	-0.210	0.290	1.042	50.071	52.129	48.014	1.002	0.999	-0.485	
000514	渝 开 发	4.98	9.06	32770420	293433728	0.353	0.230	0.246	0.836	0.361	8.032	9.291	6.773	2.799	8.082	14.136	
000516	国际医学	0.78	5.15	14896868	76679304	-0.153	-0.135	-0.035	-0.284	-0.250	5.371	5.819	4.922	1.678	-1.749	-4.725	
000517	荣安地产	1.53	4.66	13794649	64450792	-0.027	-0.040	0.025	-0.092	-0.077	4.571	4.805	4.338	3.748	3.192	1.543	
000518	四环生物	3.91	8.24	13342206	108943704	0.150	0.120	0.060	0.428	0.374	7.733	8.101	7.364	5.371	5.788	7.730	
000519	中兵红箭	1.70	12.54	22967640	285572736	-0.150	-0.056	-0.187	-0.085	0.322	12.820	14.224	11.416	4.558	-1.518	-1.560	
000520	长航凤凰	5.20	5.87	19551788	112729272	-0.086	-0.092	0.011	-0.185	-0.146	5.762	6.047	5.477	4.884	3.073	1.221	
000521	美菱电器	1.82	6.14	6950050	42318400	-0.063	-0.035	-0.056	-0.034	0.089	6.241	6.688	5.794	2.848	0.381	-1.852	
000523	广州浪奇	-0.42	9.39	4610437	43135536	-0.093	-0.055	-0.075	-0.119	0.024	9.718	10.173	9.263	-0.512	-2.094	-3.345	
000524	岭南控股	0.81	12.45	1403856	17498186	-0.106	-0.070	-0.074	-0.105	0.090	12.696	13.346	12.045	-0.200	-0.987	-1.720	
000525	红 太 阳	1.69	19.30	8541040	163962320	0.379	0.317	0.123	1.165	1.064	18.335	19.200	17.470	4.137	4.268	6.453	
000526	*ST紫学	-0.35	31.35	902317	28193236	-0.184	-0.742	1.116	-2.207	-4.172	29.788	33.149	26.427	-2.255	2.378	6.035	
