历史行情.指标排序沪深Ａ股 日期:2017-07-25,二 指标:MACD(12,26,9)   EMV(14,9)   TRIX(12,9)   WVAD(24,6)   
代码   	名称	 涨幅%%	 收盘	成交量	总金额	  DIF	  DEA	  MACD	  EMV	  MAEMV	  TRIX	  MATRIX	  WVAD	  MAWVAD	
002063	远光软件	-0.20	10.10	3616058	36463580	-0.090	-0.062	-0.055	-0.503	-0.378	-0.127	-0.054	-0.550	-0.947	
002064	华峰氨纶	-1.15	5.14	20434908	105020088	0.046	0.022	0.048	0.011	-0.052	0.106	0.073	56.620	40.617	
002065	东华软件	0.10	9.80	10381312	101567408	-0.188	-0.108	-0.161	-1.098	-0.813	-0.264	-0.101	-12.341	-18.949	
002066	瑞泰科技	0.07	14.13	12799830	181706032	-0.216	-0.259	0.087	-0.779	-1.030	-0.355	-0.241	2.860	-3.368	
002067	景兴纸业	-1.59	6.18	26635000	164812576	0.110	0.115	-0.010	-0.177	0.082	0.306	0.357	78.716	81.482	
002068	黑猫股份	4.67	10.54	38531344	396981952	0.636	0.521	0.231	1.349	1.198	1.116	0.922	141.920	116.475	
002069	獐子岛	0.33	9.04	2427900	21888414	-0.067	-0.052	-0.029	-0.226	-0.278	-0.125	-0.038	1.592	-1.385	
002070	*ST众和		10.17	0	0	0.000	0.000	0.000			0.000				
002071	长城影视	-0.73	9.47	5302011	50331040	-0.126	-0.100	-0.052	-0.577	-0.427	-0.175	-0.146	5.115	6.443	
002072	凯瑞德	0.00	31.24	0	0	0.531	0.772	-0.481	-0.149		0.330	0.541	16.788	24.786	
002073	软控股份	-2.46	8.71	17071400	149514896	0.037	-0.015	0.104	-0.400	-0.418	0.019	0.018	48.290	28.631	
002074	国轩高科	-0.39	33.20	11980846	400398016	0.701	0.747	-0.091	-0.185	0.012	0.323	0.419	20.037	18.402	
002075	沙钢股份		16.12	0	0	0.000	0.000	0.000			0.000				
002076	雪 莱 特		7.07	0	0	0.000	0.000	0.000			0.000				
002077	大港股份	-1.87	8.94	2640800	23766324	-0.685	-0.524	-0.322	-2.186	-1.743	-0.913	-0.579	-14.304	-17.415	
002078	太阳纸业	-2.63	8.16	34399516	282107008	0.310	0.288	0.045	0.394	0.441	0.624	0.578	163.353	160.354	
002079	苏州固锝	-0.70	7.05	3805244	26928482	-0.099	-0.054	-0.090	-1.005	-0.665	-0.170	0.003	10.594	12.402	
002080	中材科技	-1.86	19.55	3233768	63765032	0.227	0.369	-0.283	-0.678	-0.514	0.215	0.381	12.253	13.972	
002081	金 螳 螂	-0.92	10.76	10147699	109271064	0.052	0.068	-0.033	-0.299	-0.363	0.027	0.116	52.889	43.943	
002082	栋梁新材	-2.15	15.45	3295300	51476008	-0.319	-0.322	0.007			-0.313	-0.367	-17.444	-13.770	
002083	孚日股份	1.69	7.82	17957180	140043808	0.040	0.037	0.006	-0.085	-0.226	0.015	0.095	36.796	14.506	
002084	海鸥卫浴	0.24	8.29	1699030	14036467	-0.176	-0.132	-0.089	-1.054	-0.810	-0.263	-0.107	5.028	3.509	
002085	万丰奥威	4.16	16.77	3564631	59297268	-0.081	0.096	-0.353	-0.877	-1.037	-0.015	0.220	15.132	19.684	
002086	东方海洋	-0.18	10.80	7471800	80624568	-0.325	-0.145	-0.361	-0.952	-0.881	-0.387	-0.101	-26.622	-36.975	
002087	新野纺织	0.17	5.83	6052953	35046920	0.006	-0.009	0.030	-0.437	-0.388	0.006	-0.007	10.276	9.391	
002088	鲁阳节能	0.67	11.94	3419586	40382060	0.096	0.121	-0.051	-0.437	-0.507	0.101	0.268	10.885	7.170	
002089	新 海 宜	-1.01	6.83	7146549	48704044	0.067	0.132	-0.131	-0.647	-0.161	0.218	0.430	24.346	16.717	
002090	金智科技	-1.04	21.02	1106250	23345748	-0.556	-0.339	-0.435	-2.238	-1.893	-0.336	-0.091	-12.047	-11.875	
002091	江苏国泰	-1.71	10.35	20023824	206740720	0.167	0.096	0.141	-0.339	-0.282	0.187	0.126	80.357	59.186	
002092	中泰化学	2.53	16.24	89124456	1405173632	0.923	0.625	0.596	1.082	0.632	0.919	0.657	314.937	221.914	
002093	国脉科技	-0.96	8.27	4686837	38579496	-0.143	-0.101	-0.084	-0.950	-0.697	-0.232	-0.083	-5.521	-8.255	
002094	青岛金王	0.59	20.59	3788218	77642440	-0.364	-0.380	0.031	-1.637	-1.052	-0.240	-0.158	1.314	3.493	
002095	生 意 宝	-0.06	31.11	827561	25700608	-0.757	-0.532	-0.449	-1.194	-1.078	-0.373	-0.200	-3.833	-5.169	
002096	南岭民爆	-0.32	9.33	1431286	13389547	-0.359	-0.262	-0.193	-1.339	-0.982	-0.468	-0.250	-5.300	-4.207	
