历史行情.指标排序沪深Ａ股 日期:2017-07-24,一 指标:MACD(12,26,9)   WR(14,28)   CCI(14)   OBV(30)   
代码   	名称	 涨幅%%	 收盘	成交量	总金额	  DIF	  DEA	  MACD	  WR1	  WR2	  CCI	  OBV	  MAOBV	
601113	华鼎股份	4.65	8.32	2506567	20416236	-0.135	-0.144	0.018	16.364	36.986	28.416	-164391.2	-133293.9	
601116	三江购物	-1.52	22.73	5654210	128375944	-0.889	-0.364	-1.050	87.414	88.190	-82.290	197092.4	648256.8	
601117	中国化学	-2.86	7.81	73472976	578742912	0.341	0.244	0.194	30.667	24.468	84.767	5664406.5	2462640.3	
601118	海南橡胶	-0.97	6.11	33048930	203308032	0.162	0.119	0.087	38.462	30.172	105.067	1970052.1	714890.0	
601126	四方股份	1.78	8.57	5247485	44746960	-0.280	-0.222	-0.116	68.750	73.856	-56.949	-404989.6	-271453.4	
601127	小康股份	1.25	20.25	5950395	119680944	0.137	0.184	-0.095	42.145	42.145	-1.330	292768.6	249617.5	
601128	常熟银行	-0.19	10.43	4044400	42142112	-0.305	-0.290	-0.029	66.142	77.949	-111.552	-488278.8	-151658.1	
601137	博威合金	0.81	11.27	2172581	24321964	0.013	0.082	-0.138	61.053	61.053	-91.729	184970.2	123248.7	
601139	深圳燃气	0.23	8.56	2892897	24799376	-0.013	0.001	-0.028	66.071	66.071	-30.657	69076.37	34801.61	
601155	新城控股	-2.37	17.30	15829699	276205184	0.095	0.241	-0.292	97.537	85.714	-174.156	1709602.6	1866360.4	
601158	重庆水务	1.70	7.16	9275153	66052668	-0.039	-0.042	0.005	9.677	30.000	37.838	-7447.965	-62526.50	
601163	三角轮胎	1.66	24.45	3831795	93191144	-0.613	-0.455	-0.316	71.622	79.361	-64.002	193407.8	292167.1	
601166	兴业银行	0.95	18.00	108339584	1946377216	0.513	0.503	0.021	27.513	18.505	52.596	20785730.0	12189665.0	
601168	西部矿业	0.77	9.18	121464680	1139480448	0.407	0.340	0.134	25.434	18.410	192.416	6850605.5	2588199.0	
601169	北京银行	0.50	7.98	41663936	332428928	0.194	0.160	0.067	21.687	16.981	75.639	7585720.5	3452110.5	
601177	杭齿前进	0.49	8.13	2111700	17138428	-0.125	-0.058	-0.133	76.404	76.404	-65.418	-21744.55	10729.32	
601179	中国西电	0.88	5.70	28256020	162099056	0.025	0.009	0.031	19.355	19.355	209.224	677067.6	-120451.3	
601186	中国铁建	0.38	13.38	65643248	875557568	0.385	0.229	0.312	16.901	15.929	90.007	4611500.5	-1014401.1	
601188	龙江交通	4.44	4.94	14724522	72419744	-0.022	-0.028	0.011	23.529	23.529	94.949	363025.7	75579.06	
601198	东兴证券	0.22	18.25	9862315	180209520	0.301	0.219	0.164	26.708	22.513	111.126	170784.0	290227.5	
601199	江南水务	0.46	6.51	3355336	21764638	-0.104	-0.074	-0.062	69.491	71.429	-60.585	-47812.13	-54872.62	
601200	上海环境	-0.04	24.21	7804475	187564384	-0.866	-0.665	-0.402	76.533	81.474	-71.175	-97943.03	112286.4	
601208	东材科技	1.57	7.12	8021153	56913196	0.022	0.023	-0.001	15.517	15.517	78.035	341390.3	132133.6	
601211	国泰君安	-1.41	20.91	38369784	809306368	0.407	0.410	-0.007	38.857	27.642	58.022	3538183.5	4243105.5	
601212	白银有色	-0.11	8.95	43182368	386219072	0.193	0.179	0.028	55.080	40.711	20.811	4105066.3	1987387.8	
601216	君正集团	6.54	5.54	493424256	2755202048	0.079	0.038	0.082	16.071	16.071	290.497	15408123.0	7182490.5	
601218	吉鑫科技	0.48	4.20	5026534	21053648	-0.072	-0.052	-0.040	61.538	61.538	-51.963	-95996.04	-200144.3	
601222	林洋能源	3.90	8.00	36562420	290265984	0.091	0.072	0.038	4.255	4.255	161.686	1793409.0	986197.1	
601225	陕西煤业	-2.98	8.47	180305632	1556205312	0.542	0.515	0.054	29.310	18.149	94.507	10834993.0	6894115.0	
601226	华电重工	0.17	6.07	2629550	15902454	-0.217	-0.148	-0.137	76.415	81.752	-72.931	94168.88	188122.6	
601228	广州港	0.56	7.14	22613766	161085264	-0.459	-0.357	-0.203	92.398	94.222	-93.257	-1231957.1	26004.77	
601229	上海银行	1.95	20.34	32155676	647872320	0.462	0.406	0.113	22.222	17.358	92.051	5952298.5	4854611.5	
601231	环旭电子	0.85	14.18	8472635	120437224	-0.167	-0.058	-0.218	40.800	58.659	-14.076	583982.9	493134.1	
