历史行情.指标排序沪深Ａ股 日期:2017-07-19,三 指标:MACD(12,26,9)   EMV(14,9)   TRIX(12,9)   WVAD(24,6)   
代码   	名称	 涨幅%%	 收盘	成交量	总金额	  DIF	  DEA	  MACD	  EMV	  MAEMV	  TRIX	  MATRIX	  WVAD	  MAWVAD	
000027	深圳能源	1.23	6.60	11704845	76784384	-0.010	0.023	-0.066	-0.229	0.083	0.048	0.119	10.610	14.388	
000028	国药一致	1.37	76.41	1650931	125567808	-0.017	0.715	-1.465	-0.207	0.194	0.089	0.240	0.984	1.283	
000029	深深房Ａ					-0.013	0.034	-0.094	-0.583	-0.787	-0.042	0.086	52.933	49.458	
000030	富奥股份	2.20	8.83	10242415	89713200	0.053	0.098	-0.090	-0.180	-0.049	0.129	0.261	26.797	21.882	
000031	中粮地产	2.23	7.34	10066714	73548256	-0.043	-0.006	-0.075	-0.492	-0.177	0.004	0.078	17.281	17.673	
000032	深桑达Ａ					0.135	0.099	0.073	0.203	0.321	0.145	0.065	24.229	13.975	
000034	神州数码	-10.00	19.81	1246200	24687222	-0.048	0.266	-0.629	-0.118	0.308	0.199	0.323	11.201	4.773	
000035	中国天楹	0.00	6.53	8111581	52308372	-0.072	-0.030	-0.083	-0.868	-0.135	-0.058	0.026	-5.032	0.099	
000036	华联控股	1.26	9.65	63483664	606081728	0.201	0.136	0.131	0.494	0.132	0.251	0.200	119.419	76.644	
000037	深南电A	0.00	9.92	2074130	20456128	-0.033	0.015	-0.096	-0.359	-0.131	-0.006	0.110	3.480	4.113	
000038	深大通					-1.003	-0.936	-0.135	-1.351	-1.485	-0.637	-0.637	-2.962	-2.309	
000039	中集集团	2.85	17.66	18163136	317300800	0.156	0.226	-0.139	-0.231	0.004	0.153	0.243	38.812	41.031	
000040	东旭蓝天	1.21	12.52	3415527	42399688	-0.024	0.079	-0.205	-1.109	-0.181	0.103	0.206	12.795	15.557	
000042	中洲控股	0.18	16.68	527025	8785008	-0.199	-0.228	0.058	-0.217	-0.269	-0.195	-0.216	-2.750	-2.997	
000043	中航地产	0.77	10.52	5559453	58279696	0.262	0.292	-0.059	0.296	0.540	0.575	0.566	32.954	32.533	
000045	深纺织Ａ	1.15	10.53	4053423	42356172	-0.327	-0.158	-0.337	-1.929	-0.926	-0.312	-0.075	-13.069	-5.701	
000046	泛海控股	1.34	8.30	3702435	30540634	-0.041	-0.021	-0.040	-0.249	-0.150	-0.049	0.019	-0.424	2.265	
000048	康达尔	-0.55	25.10	238255	5958560	-0.440	-0.293	-0.295	-1.124	-0.698	-0.153	-0.063	-1.455	-1.141	
000049	德赛电池	2.44	52.40	3349351	174321792	-0.293	-0.028	-0.530	0.111	0.119	-0.004	0.088	0.929	-0.384	
000050	深天马Ａ	3.33	22.02	58539256	1268541184	0.742	0.702	0.081	0.550	0.259	0.602	0.676	176.534	133.756	
000055	方大集团	1.72	7.09	6977475	49235576	-0.105	-0.094	-0.023	-0.457	-0.400	-0.141	-0.091	-3.177	-1.843	
000056	皇庭国际	2.42	12.70	2324117	29276624	0.203	0.150	0.105	0.382	0.254	0.250	0.188	5.420	4.000	
000058	深 赛 格	1.23	7.39	3299601	24226284	-0.156	-0.052	-0.207	-1.381	-0.553	-0.125	0.084	8.707	11.820	
000059	华锦股份	6.39	11.65	70506720	798050432	0.313	0.243	0.142	0.357	0.500	0.484	0.375	227.231	170.515	
000060	中金岭南	4.58	11.87	107401600	1260688512	0.268	0.281	-0.026	-0.059	0.144	0.409	0.487	243.868	197.646	
000061	农 产 品					-0.069	-0.095	0.053	0.035	0.059	-0.028	-0.050	16.296	12.020	
000062	深圳华强	2.85	24.94	4830865	119120568	-0.895	-0.682	-0.427	-1.119	-0.895	-0.491	-0.394	-18.021	-13.621	
000063	中兴通讯	2.72	22.67	57064872	1274264704	0.438	0.667	-0.458	-0.566	-0.006	0.331	0.522	159.892	166.644	
000065	北方国际	2.81	23.39	5681654	131979728	-0.581	-0.440	-0.283	-0.793	-0.528	-0.245	-0.103	-5.312	-6.656	
000066	中国长城	1.10	9.19	23496306	214259376	0.117	0.141	-0.049	-0.081	0.193	0.349	0.389	112.678	102.103	
000068	华控赛格	5.77	6.60	10070889	65560972	-0.160	-0.130	-0.060	-1.018	-0.436	-0.273	-0.181	3.762	0.232	
000069	华侨城Ａ	3.07	9.40	49896192	464053408	0.058	0.163	-0.211	-0.540	-0.198	0.134	0.334	82.423	48.606	
000070	特发信息	0.39	10.18	4509427	45573620	-0.347	-0.196	-0.302	-1.688	-1.107	-0.396	-0.139	-17.318	-10.765	
000078	海王生物	0.16	6.09	17703872	106878888	0.033	0.045	-0.025	-0.221	-0.024	0.119	0.120	26.539	41.519	
000088	盐 田 港	1.60	9.50	16030754	151336592	-0.233	-0.110	-0.247	-1.830	-1.379	-0.366	-0.152	-18.711	-1.377	
000089	深圳机场	1.34	9.09	11034733	99666944	-0.044	0.027	-0.143	-0.375	-0.113	-0.016	0.106	14.057	6.980	
000090	天健集团	1.52	11.37	19473548	219672144	0.209	0.279	-0.139	-0.206	0.392	0.375	0.391	73.086	78.246	
000096	广聚能源	2.75	14.22	1249101	17714538	-0.259	-0.196	-0.125	-0.477	-0.407	-0.230	-0.120	-2.985	-3.746	
000099	中信海直					-0.284	-0.228	-0.112	-1.540	-1.069	-0.359	-0.244	-18.692	-15.225	
000100	TCL 集团					-0.010	0.001	-0.023	-0.354	-0.102	-0.007	0.019	175.145	187.543	
000150	宜华健康	-0.25	24.22	918980	22175366	-0.203	-0.218	0.029	-0.588	-0.245	-0.099	-0.118	-2.611	-2.032	
000151	中成股份	1.87	17.39	4268691	73978448	-0.499	-0.281	-0.436	-1.172	-0.789	-0.321	-0.141	-25.591	-17.999	
000153	丰原药业	0.31	9.65	5545194	53237564	-0.776	-0.399	-0.755	-1.233	-0.686	-0.716	-0.193	7.954	8.761	
000156	华数传媒	0.86	14.09	2566809	35906720	-0.198	-0.108	-0.182	-0.514	-0.258	-0.111	-0.003	-5.838	-2.262	
000157	中联重科	1.93	4.76	101022768	478131936	0.057	0.037	0.040	0.238	0.173	0.162	0.130	256.920	162.277	
000158	常山股份	-0.19	10.78	16995304	184427824	-0.206	-0.025	-0.362	-2.007	-0.877	-0.177	0.067	1.232	8.539	
000159	国际实业	1.60	6.36	8932810	56252536	-0.096	-0.034	-0.124	-0.754	-0.115	0.015	0.136	19.405	34.236	
000166	申万宏源	5.16	5.91	101457872	587338944	0.046	0.034	0.023	0.186	0.171	0.131	0.108	125.839	67.031	
000301	东方市场					-0.002	0.008	-0.020	-0.197	-0.042	0.027	0.065	33.788	36.168	
000333	美的集团	0.54	41.22	31519178	1304514816	0.498	0.878	-0.761	-0.225	-0.009	0.198	0.376	37.875	36.928	
000338	潍柴动力	4.76	7.04	114121040	1608569984	0.260	0.252	0.015	0.111	0.474	0.645	0.715	318.452	256.711	
